Subtitle Words,Search,Ignore
able,,x
about,,x
above,,x
accept,,x
account,,
achieving,,
acorn,x,
across,,
adjusted,,
affects,,
after,,x
again,,x
against,,x
age,,x
ago,,x
agreed,,
ah,,x
ahead,,
ahh,,x
aid,,
ain,,
air,,
alarm,,
alas,,
alike,,x
alive,,
all,,
allegiance,x,
alliance,,
alliances,,
allow,,x
ally,,x
almost,,x
alone,,x
alongside,,x
already,,x
also,,x
always,,x
am,,x
ambushed,x,
an,,
and,,
anger,,
anor,,
another,,
answer,,
any,,
anymore,,
anything,,
appear,,
appearance,,
approaches,,
approaching,,
aragorn,,
arathorn,,
are,,
aren,,
arm,,
armed,,
armies,,
armour,,
armoury,,
arms,,
army,,
arod,,
around,,
arwen,,
as,,
ash,,
ask,,
asleep,,
astray,,
at,,
attack,,
attacked,,
attacks,,
avail,,
awake,,
away,,
awfully,,
ax,,
axes,,
baby,,
back,,
backs,,
bad,,
badly,,
baggins,,
balrog,,
bandy,,
banished,,
bar,,
bare,,
barely,,
barricade,,
bars,,
base,,
battle,,
be,,
bear,,
beards,,
bearer,,
bearing,,
bears,,
beast,,
beautiful,,
because,,
beech,,
been,,
before,,
begin,,
begins,,
behaving,,
behind,,
being,,x
belches,x,
belief,,x
believe,,x
belly,,x
belong,,x
belongs,,x
belt,,x
belts,,x
best,,x
betrayed,x,
better,,
between,,
beyond,,
big,,
bind,,
bird,,
biting,,
bitter,,
bitterness,,
black,,
blade,,
blame,,
bless,,
blood,,
blowing,,
blows,,
bodyguard,,
bog,,
boil,,
bonds,,
bone,,
borders,,
boromir,,
both,,
bought,,
bound,,
bower,,
box,,
boy,,
boys,,
brace,,
branches,,
brave,,
breached,,
bread,,
break,,
breaking,,
breathe,,
breather,,
breathing,,
bred,,
brego,,
bright,,
bring,,
broad,,
broke,,
broken,,
brother,,
bru,,
buckland,,
burden,,
burn,,
burned,,
burning,,
burns,,
bury,,
business,,
but,,
by,,
cage,,
call,,
called,,
calling,,
can,,
candles,,
canniest,,
cannot,,
captain,,
captive,,
carcasses,,
careful,,
cares,,
carve,,
castle,,
catch,,
caught,,
causeway,,
caves,,
cawing,,
chance,,
chances,,
change,,
changed,,
changing,,
characters,,
charge,,
chattering,,
cheat,,
cheated,,
cheer,,
cheering,,
chest,,
chestnut,,
chief,,
child,,
children,,
chill,,
chips,,
choice,,
choking,,
chooses,,
